,Relation,Count,Example 1,Example 2,Example 3
1,has measured component,5917.0,beta Alanine (substance) -- has measured component-> beta-Alanine measurement,Immunogen -- has measured component-> Human leukocyte antigen (HLA) A antigen typing (procedure),Anti HAV -- has measured component-> Hepatitis A antibody level
2,same as,41406.0,Levatores labii -- same as-> Levator labii superioris,Other specified arthropod-borne viral diseases -- same as-> Other specified arthropod-borne viral diseases,Mefloquine poisoning -- same as-> Mefloquine poisoning of undetermined intent
3,isa,924325.0,"Metacarpophalangeal joint of little finger -- isa-> Articular surface, phalanges, of fifth metacarpal bone","Closed fracture finger distal phalanx, mallet (disorder) -- isa-> Closed mallet fracture of distal phalanx of little finger (disorder)","inorganic; dust, pneumoconiosis -- isa-> Pneumoconiosis due to silicates"
5,component of,9755.0,Droperidol measurement (procedure) -- component of-> Substances,Cold agglutinin screen (procedure) -- component of-> Cold agglutinin (substance),"Chlorine measurement (procedure) -- component of-> Lipid, lipoprotein, or related analyte"
6,method of,125899.0,Primary decompression of spinal cord NEC (procedure) -- method of-> Decompression operation,Referral by clinical allergist (procedure) -- method of-> Referral - action,Expression of conjunctival follicles -- method of-> Manipulation - action (qualifier value)
7,intent of,23420.0,Streptomycin level -- intent of-> Diagnostic intent (qualifier value),Putting patient in a position -- intent of-> Therapeutic,Measles IgG level -- intent of-> Diagnostic intent (qualifier value)
8,active ingredient of,43169.0,Product containing only eplerenone 100 mg/1 each oral tablet (clinical drug) -- active ingredient of-> Hypotensive agent,Aspirin and oxycodone product -- active ingredient of-> Aspirin product,2-phenylphenol -- active ingredient of-> 2-phenylphenol
10,has component,9752.0,Finding of red blood cell morphology -- has component-> Sickling test,Legionella species antibody -- has component-> Legionella immunoglobulin M level,Allergen (attribute) -- has component-> Cladosporium herbarum IgG RAST
12,disposition of,10066.0,Pitavastatin calcium (substance) -- disposition of-> HMG-CoA reductase inhibitor,Polyporopepsin (substance) -- disposition of-> Hydrolase (disposition),Vaborbactam (substance) -- disposition of-> Antibacterial
14,has disposition,10041.0,Cholinesterase inhibitor -- has disposition-> Galantamine,Cholinergic receptor antagonist -- has disposition-> Trimethaphan (substance),Muscarinic receptor antagonist (disposition) -- has disposition-> Product containing glycopyrronium (medicinal product)
15,causative agent of,56497.0,Dipipanone poisoning -- causative agent of-> Methadone analog (substance),Subcutaneous pheomycotic abscess and cyst -- causative agent of-> Xylohypha,Alfentanil overdose of undetermined intent -- causative agent of-> Alfentanil (substance)
16,finding site of,232780.0,Childhood cerebral X-linked adrenoleukodystrophy (disorder) -- finding site of-> Adrenal cortex structure (body structure),Closed bimalleolar fracture (disorder) -- finding site of-> Foot structure,Malignant neoplasm of other sites of lip -- finding site of-> Ill-defined topographic site
17,possibly equivalent to,70402.0,H/O: sterilisation - female (& [tubal ligation]) -- possibly equivalent to-> H/O: sterilisation - female,(Potassium deficiency) or (hypokalaemia) (disorder) -- possibly equivalent to-> Low serum potassium level - finding,Fluid sample alkaline phosphatase measurement -- possibly equivalent to-> Sample alkaline phosphatase &/or fluid
